label,rmsExpo_r_expo0,rmsExpo_r_expo1,rmsExpo_r_expo2,rmsExpo_r_expo3,rmsExpo_r_expo4,InputSeeing_r_expo0,InputSeeing_r_expo1,InputSeeing_r_expo2,InputSeeing_r_expo3,InputSeeing_r_expo4,InputBeta_r_expo0,InputBeta_r_expo1,InputBeta_r_expo2,InputBeta_r_expo3,InputBeta_r_expo4,seeing_e1_r_expo0,seeing_e1_r_expo1,seeing_e1_r_expo2,seeing_e1_r_expo3,seeing_e1_r_expo4,seeing_e2_r_expo0,seeing_e2_r_expo1,seeing_e2_r_expo2,seeing_e2_r_expo3,seeing_e2_r_expo4,rmsAW_u,rmsAW_g,rmsAW_i,rmsTHELI_u,rmsExpo_u,rmsTHELI_g,rmsExpo_g,rmsTHELI_i,rmsExpo_i,FileSeeing_u,seeing_e1_u,FileSeeing_g,seeing_e1_g,FileSeeing_i,seeing_e1_i,MeasSeeing_u,MeasBeta_u,MeasSeeing_g,MeasBeta_g,MeasSeeing_i,MeasBeta_i,InputSeeing_u,InputBeta_u,InputSeeing_g,InputBeta_g,InputSeeing_i,InputBeta_i,HeaderSeeing_Z,MeasSeeing_Z,rms_Z,HeaderSeeing_Y,MeasSeeing_Y,rms_Y,HeaderSeeing_J,MeasSeeing_J,rms_J,HeaderSeeing_H,MeasSeeing_H,rms_H,HeaderSeeing_Ks,MeasSeeing_Ks,rms_Ks,MeasBeta_Z,MeasBeta_Y,MeasBeta_J,MeasBeta_H,MeasBeta_Ks,InputSeeing_Z,InputBeta_Z,InputSeeing_Y,InputBeta_Y,InputSeeing_J,InputBeta_J,InputSeeing_H,InputBeta_H,InputSeeing_Ks,InputBeta_Ks,rmsExpo_Z,rmsExpo_Y,rmsExpo_J,rmsExpo_H,rmsExpo_Ks
184.0_-1.5,5.846717997655555,5.846717997655555,5.846717997655555,5.846717997655555,5.846717997655555,0.41,0.59,0.6,0.55,0.51,2.41,2.85,3.21,2.6,3.13,0.03,-0.13,-0.11,-0.04,-0.07,0.05,-0.01,-0.09,-0.04,-0.07,4.877297190129839,2.2172684506325093,12.11325778016158,5.5840175529796525,11.168035105959301,2.538550649129159,5.676371815779017,13.868468832506988,31.01083905332277,0.949,0.036000000000000004,0.778,0.053,1.079,0.06,0.8646155999999999,1.978029,0.7174328000000001,2.21169,1.0103312,2.531776,0.8452311999999998,1.9153053261621489,0.6928656000000002,2.094716725764259,0.9956624,2.4806995008763466,0.9416017591023632,0.9854063218527436,20.542104356131954,0.8609795570521926,0.8958531401395236,40.41392757817107,0.8170977908886368,0.8744809456696407,41.425991115175954,0.9199152740805928,0.9705455273677392,77.07741772525378,0.8595464079176809,0.9349170019138514,95.26187888256358,2.8023972490653186,3.0887568456642787,3.191158608801533,2.8378412725493063,2.940214651770308,0.9440126437054872,2.623102971497243,0.8533062802790471,2.8605730661502404,0.8309618913392813,2.945158071518416,0.9312910547354784,2.658980603177912,0.8940340038277027,2.7429884582263924,20.542104356131954,40.41392757817107,41.425991115175954,77.07741772525378,95.26187888256358
135.0_-1.5,5.846717997655555,5.846717997655555,5.846717997655555,5.846717997655555,5.846717997655555,0.56,0.62,0.57,0.68,0.6,2.16,2.26,2.32,2.01,2.27,0.02,0.03,0.03,0.03,0.02,-0.06,-0.05,-0.05,-0.06,-0.01,5.162194970050618,2.362435572832601,5.170504825020476,5.9101970212109505,11.820394042421901,2.704752487336044,6.0480104239950325,5.919710974165941,13.236876145386546,0.693,0.046,0.647,0.044,0.6659999999999999,0.047,0.6378328000000001,1.882704,0.6054695999999999,2.271371,0.6420378000000001,3.000362,0.6056656000000001,1.7446382208008349,0.5729391999999999,2.043781245632569,0.6160756000000002,2.735847587105828,0.8208089998238302,0.8678084233807087,18.775557989063522,0.7812377700812649,0.8175674329706345,39.08884929898071,0.7695830693534085,0.8081749645070001,40.72650364891436,0.9171252471916412,0.9578200598108086,89.50794643848154,0.950603570816452,0.9746801342430348,80.259512287162,3.2268555524810734,3.569020246933517,3.6508874420060073,2.871374997228932,2.827595843453635,0.8244168467614174,2.969890110964404,0.7715348659412691,3.2520176059637924,0.7629499290140003,3.340061692534377,0.9160401196216172,2.683150428265762,0.9327602684860694,2.6532237216980876,18.775557989063522,39.08884929898071,40.72650364891436,89.50794643848154,80.259512287162
218.6_2.5,5.846717997655555,5.846717997655555,5.846717997655555,5.846717997655555,5.846717997655555,0.64,0.63,0.58,0.66,0.66,3.14,2.84,2.76,2.62,2.87,0.08,0.05,0.05,0.07,0.05,-0.05,-0.03,-0.05,-0.04,-0.05,4.983788804280807,1.9833423066545304,6.8965186596247765,5.705939802021093,11.411879604042186,2.270728606888771,5.077503523456689,7.895824213404403,17.65559967956105,0.932,0.049,0.84,0.039,0.992,0.041,0.8604178,2.220517,0.7829878,2.144879,0.9362278,2.48681,0.8428356,2.156456530558464,0.7619756000000001,2.0575074953289354,0.9204556000000002,2.424867556425021,0.9871254991633832,1.019543938420472,16.009587611395652,0.8220696083600406,0.8452569223834413,35.65385057321247,0.7557620738914871,0.8124671719096965,44.204723874760894,0.8506379807160501,0.9006080578434336,102.5309260028036,0.903284440066468,0.9493537023371386,101.56888896583557,2.733894326561429,3.3628733620894145,3.612637669658041,3.0682132001183935,2.8954767804283046,0.978287876840944,2.5731968811138084,0.8031138447668826,3.0925372365474044,0.7681343438193929,3.2855841903932936,0.859416115686867,2.836609039008993,0.9059074046742772,2.694760236915493,16.009587611395652,35.65385057321247,44.204723874760894,102.5309260028036,101.56888896583557
44.4_-34.1,5.846717997655555,5.846717997655555,5.846717997655555,5.846717997655555,5.846717997655555,0.73,0.69,0.75,0.89,0.95,2.11,2.09,2.01,2.04,2.12,0.02,-0.0,0.02,-0.0,-0.01,-0.05,0.02,0.01,0.02,0.02,5.895855438936793,2.187244204753171,9.95717073035662,6.7501648920387325,13.500329784077465,2.5041758900219047,5.599507517705016,11.399964769185289,25.49109616500101,1.073,0.032,0.7929999999999999,0.037000000000000005,0.89,0.039,0.9881716,2.12071,0.7370856,2.094445,0.8427209999999999,2.511243,0.9723431999999999,2.086556667533736,0.7141712,1.9911854916281304,0.8234419999999999,2.4253006300271123,0.9770483279594062,1.0464308180916586,14.708470001192731,0.9739760388052938,0.98154774644479,33.403082326302155,0.7995637520968489,0.8562515744499911,44.19571722878073,0.7721589786804984,0.8342336064166179,88.10646875817835,0.7433919598089337,0.8383808993936165,100.58611173881071,2.690382021142992,2.8112391580559213,3.2934223615654177,3.439186793140583,3.409643567466288,1.0082616361833172,2.5393625409633445,0.93969549288958,2.6332761201417214,0.8132031488999822,3.0363863975978687,0.7912672128332358,3.1409508584497665,0.7927617987872329,3.1207365098010564,14.708470001192731,33.403082326302155,44.19571722878073,88.10646875817835,100.58611173881071
131.0_0.5,5.846717997655555,5.846717997655555,5.846717997655555,5.846717997655555,5.846717997655555,1.0,0.98,0.87,0.79,0.65,2.6,2.61,2.61,2.36,2.24,-0.02,-0.01,-0.02,-0.03,-0.0,0.07,0.02,-0.01,0.0,-0.02,6.188014490551213,2.1418225285288863,7.567025183068371,7.0846577902320815,14.169315580464161,2.4521726129127206,5.483224655036123,8.663487132094975,19.372146149559065,0.955,0.034,0.703,0.05,1.007,0.04,0.869667,1.88634,0.6524826,2.060191,0.9538709999999999,2.453749,0.8493339999999998,1.8293455963659184,0.6229651999999999,1.9103782093479824,0.938742,2.3913425062015263,1.0562316652084278,1.0560163568579033,11.814381855758988,0.998719367988012,0.9913305189057704,28.294415628916745,0.9679007919381551,0.995713589435679,35.84867733392072,0.9912613752272424,1.0136250304750671,58.01892835148157,0.9534383570796208,0.9861361286319886,90.82338613714016,2.676726746972996,2.7892885177854048,2.779940356672392,2.744619737354761,2.8007522239347047,1.0172327137158064,2.532398961866979,0.9524610378115408,2.629306727888586,0.9544271788713579,2.606199845740481,0.9732500609501342,2.589506344755883,0.9454722572639772,2.632484570324804,11.814381855758988,28.294415628916745,35.84867733392072,58.01892835148157,90.82338613714016
350.6_-32.1,5.846717997655555,5.846717997655555,5.846717997655555,5.846717997655555,5.846717997655555,0.5,0.57,0.56,0.52,0.55,2.27,2.16,2.59,2.38,2.31,0.01,-0.05,-0.05,-0.05,0.02,-0.01,0.03,-0.02,0.01,0.0,4.971974167394802,2.3097319509952032,11.24930131160181,5.692413224250307,11.384826448500615,2.6444121106944074,5.913085240036392,12.879325071652909,28.799046364533247,0.923,0.048,0.797,0.054000000000000006,1.163,0.033,0.8483168,1.970505,0.7305235999999999,2.260913,1.1044903999999998,2.58104,0.8286336,1.9112957185683723,0.7070471999999999,2.1398466974081063,1.0909807999999994,2.540870508566194,0.7493775265265571,0.8361630017107621,20.4106382006322,0.7522994124337878,0.8288697695430185,42.32691393130853,0.8428073378194525,0.8964404205547686,40.50144067012563,1.0435571213933648,1.1083807786270496,77.9261801246048,0.9241241172886412,0.9942842027722524,83.88179648002627,3.425314124098687,3.478967709441094,3.086178256009924,2.6160411281609006,2.7829569378954417,0.7917260034215241,3.1359553436274226,0.783939539086037,3.175545029482993,0.8544808411095371,2.857965577083809,1.0709615572540991,2.484734452729977,0.9549684055445048,2.613818122537436,20.4106382006322,42.32691393130853,40.50144067012563,77.9261801246048,83.88179648002627
343.4_-33.1,5.846717997655555,5.846717997655555,5.846717997655555,5.846717997655555,5.846717997655555,0.54,0.51,0.53,0.58,0.73,2.58,2.57,2.52,2.46,2.21,0.05,0.02,0.0,0.01,0.01,-0.07,-0.06,0.02,-0.0,0.02,5.108082694312525,2.3360413969359173,8.168418510516902,5.848243876718406,11.696487753436813,2.6745337953519317,5.980439374527428,9.3520223526908,20.91175770771414,1.162,0.04,0.88,0.053,0.8959999999999999,0.057,1.0669714,2.135915,0.8046152000000002,2.3947540000000003,0.8298371999999999,2.869921,1.0509427999999996,2.083079955809416,0.7852304000000003,2.305668735790876,0.8116743999999998,2.7927303678868896,0.9033358894058948,0.9271276029006394,26.766355727674387,0.8048351149993899,0.8543038606431074,52.726330677247006,0.8341247423995232,0.8752465280016488,44.82818609121192,0.8859174863131386,0.9641477853607486,103.2616771906057,0.8418301205292452,0.8974626245455761,103.55791773610508,2.966428482887068,3.3052716440108894,3.1871835147134018,2.854312184911852,3.081718015790853,0.8852552058012788,2.7535356279958005,0.8110077212862147,3.0317787041703843,0.8324930560032975,2.939462548380264,0.9218955707214972,2.6802905846580543,0.8565252490911522,2.862718757574948,26.766355727674387,52.726330677247006,44.82818609121192,103.2616771906057,103.55791773610508
184.0_1.5,5.846717997655555,5.846717997655555,5.846717997655555,5.846717997655555,5.846717997655555,0.58,0.59,0.61,0.54,0.57,2.37,2.48,2.42,2.63,2.54,-0.01,-0.03,-0.01,-0.01,0.01,-0.03,-0.04,-0.04,-0.04,-0.02,5.622992823334204,2.180528439913048,11.120028241279423,6.437764483435327,12.875528966870654,2.4964870108564483,5.582314661220274,12.731320333440804,28.46809770889893,0.92,0.04,0.602,0.044,1.089,0.062,0.8409565999999999,2.046687,0.5693968,2.326446,1.015487,2.636191,0.8219131999999999,1.9839688037910148,0.5327936000000001,2.036308448892969,1.000974,2.5721521651257806,1.0337944926331664,1.05706504396283,18.614810777231888,0.9770508465283422,1.0069464170166842,37.71349330023436,0.9573457914503404,0.9943865983442433,33.80559652456953,0.9218873004161272,0.9775522723392044,50.24463193389349,0.8900308921055607,0.9745467479047496,73.42879808579892,2.6752867371227094,2.7572700053374506,2.782739820389974,2.8206566966291144,2.8279216143778267,1.0193300879256595,2.5290285807051966,0.9666928340333684,2.5924270433763685,0.9551731966884864,2.619637957051133,0.9385045446784086,2.64026955337258,0.9358934958094992,2.663093082890894,18.614810777231888,37.71349330023436,33.80559652456953,50.24463193389349,73.42879808579892
218.6_2.5,5.846717997655555,5.846717997655555,5.846717997655555,5.846717997655555,5.846717997655555,0.61,0.64,0.59,0.67,0.65,2.61,2.68,2.57,2.53,2.62,-0.0,-0.0,0.02,0.0,-0.01,-0.01,-0.0,-0.03,-0.02,-0.02,4.983788804280807,1.9833423066545304,6.8965186596247765,5.705939802021093,11.411879604042186,2.270728606888771,5.077503523456689,7.895824213404403,17.65559967956105,0.932,0.049,0.84,0.039,0.992,0.041,0.8604178,2.220517,0.7829878,2.144879,0.9362278,2.48681,0.8428356,2.156456530558464,0.7619756000000001,2.0575074953289354,0.9204556000000002,2.424867556425021,0.9871254991633832,1.019543938420472,16.009587611395652,0.8220696083600406,0.8452569223834413,35.65385057321247,0.7557620738914871,0.8124671719096965,44.204723874760894,0.8506379807160501,0.9006080578434336,102.5309260028036,0.903284440066468,0.9493537023371386,101.56888896583557,2.733894326561429,3.3628733620894145,3.612637669658041,3.0682132001183935,2.8954767804283046,0.978287876840944,2.5731968811138084,0.8031138447668826,3.0925372365474044,0.7681343438193929,3.2855841903932936,0.859416115686867,2.836609039008993,0.9059074046742772,2.694760236915493,16.009587611395652,35.65385057321247,44.204723874760894,102.5309260028036,101.56888896583557
212.0_1.5,5.846717997655555,5.846717997655555,5.846717997655555,5.846717997655555,5.846717997655555,0.66,0.64,0.71,0.69,0.66,2.46,2.48,2.52,2.36,2.86,-0.04,-0.01,-0.05,-0.03,-0.06,0.02,-0.02,-0.04,-0.06,-0.07,5.0271885880050124,2.1802466880253712,10.410315762866713,5.755628214406937,11.511256428813875,2.4961644331202466,5.581593355474099,11.918770516906095,26.651181084022337,0.96,0.042,0.8290000000000001,0.047,0.626,0.053,0.8836158000000002,2.226967,0.7670648,2.38593,0.6119224000000001,2.995199,0.8652316000000003,2.1700050783265517,0.7461296,2.276014912083773,0.5838448,2.6670054532286738,1.0383268024430286,1.1005157698284949,19.100146694881246,0.8203991530468013,0.8422756728767704,40.74234846168177,0.8713807176691544,0.9074200505650958,43.18217185699706,0.9161363234193308,0.9609782098920558,98.42305654300634,0.8639512258090902,0.945819762775933,108.90454515925524,2.623840104560624,3.3828218278802766,3.040067395967641,2.8627605140187837,2.9059898727666114,1.0620315396569897,2.4895047791783766,0.7971513457535409,3.0845186681719503,0.8662401011301915,2.829867361113048,0.9189564197841116,2.673769991814684,0.905639525551866,2.717936745835112,19.100146694881246,40.74234846168177,43.18217185699706,98.42305654300634,108.90454515925524
349.5_-31.2,5.846717997655555,5.846717997655555,5.846717997655555,5.846717997655555,5.846717997655555,0.69,0.58,0.58,0.62,0.7,1.81,1.95,1.94,2.0,2.09,-0.03,-0.05,-0.03,0.01,-0.03,0.0,0.03,0.01,0.01,0.02,5.20784911829082,2.1652640962302416,10.677965770027477,5.962466455531157,11.924932911062314,2.4790108637740027,5.543236808359142,12.225203010104456,27.33638496932861,1.037,0.044,0.935,0.038,0.6970000000000001,0.046,0.940298,2.103184,0.8631171999999999,2.036827,0.6680735999999999,3.104985,0.9225959999999999,2.0488304854866235,0.8442343999999997,1.9760157385859767,0.6441471999999998,2.8535576576613053,0.9933218520178944,1.045110606062818,17.17182134682493,0.9151806205440152,0.9431095736375168,38.52946915689692,0.8855714701972708,0.9399684345605605,38.941327280907004,0.9935756229679048,1.0344323336220078,66.04781806652174,0.9279042263926068,0.9908911997504934,69.56124904236937,2.6923344453536573,2.9142404998371827,2.924012739682232,2.7087991570726158,2.79024169152394,1.0056212121256358,2.5377289896444326,0.9036191472750336,2.720267969212602,0.8973368691211208,2.723051005894196,0.9944646672440156,2.5489800128076343,0.9515823995009868,2.613974613822036,17.17182134682493,38.52946915689692,38.941327280907004,66.04781806652174,69.56124904236937
40.8_-31.2,5.846717997655555,5.846717997655555,5.846717997655555,5.846717997655555,5.846717997655555,0.76,0.74,0.73,0.83,0.84,1.9,1.85,1.86,2.01,2.13,-0.02,-0.02,-0.01,-0.04,-0.05,-0.03,-0.02,0.02,-0.0,0.01,4.692843951639827,2.190680148185606,5.6004715178823545,5.372837040232437,10.745674080464873,2.508109701657699,5.608303787933333,6.4119798408235065,14.33762279443964,1.005,0.037000000000000005,0.967,0.039,0.622,0.049,0.9330098,2.074932,0.9020521999999999,2.246927,0.5966442,2.705614,0.9160196,2.0253522900616225,0.8851043999999997,2.1894527966409814,0.5652883999999998,2.394883115352356,0.9343937447151848,1.0590441298498985,19.10521335845333,0.9611813426752116,0.9664427565852508,37.94372797333156,0.8881488369286777,0.9926801094376294,41.758194729203524,1.0577065240197696,1.0875182911701018,101.7756496014439,1.0189116834200118,1.1095860320044335,106.5492880086289,2.6725972311363924,2.8483156052172687,2.7863789695723065,2.637671161608212,2.614882050813023,1.0198882596997971,2.5266014699051844,0.9264855131705017,2.66213204874627,0.9517602188752587,2.6221922184606568,1.0496365823402034,2.506767254591211,1.0733720640088669,2.482240167409397,19.10521335845333,37.94372797333156,41.758194729203524,101.7756496014439,106.5492880086289
139.0_0.5,5.846717997655555,5.846717997655555,5.846717997655555,5.846717997655555,5.846717997655555,0.82,0.8,0.74,0.79,0.79,2.31,2.38,2.31,2.38,2.57,-0.02,-0.01,-0.01,0.04,-0.02,-0.0,-0.01,0.01,-0.01,-0.02,5.098637870599371,2.5296178104219122,7.314588562247112,5.837430498049217,11.674860996098435,2.8961594311520464,6.476009361733098,8.374472444916716,18.72588966253264,0.99,0.045,0.85,0.034,0.654,0.058,0.8994710000000001,1.989886,0.7845986,2.036814,0.6224618000000001,3.081086,0.8809420000000002,1.939013349298132,0.7621972,1.951439879524251,0.5949236000000001,2.7680193466935132,0.8199382083197978,0.8817784784378325,18.988433922700786,0.8623164550893928,0.874754138096379,41.16870933430162,0.8357641254937587,0.8685499456838884,45.29483018757187,0.8528475308391418,0.8977051401277985,104.24283984719149,0.7867807689116887,0.8549874140040564,105.91804188951485,3.154235217748477,3.1897373367523287,3.222793383648995,3.0806650217073206,3.301091546938573,0.8387569568756649,2.9169816175566465,0.8315082761927579,2.947756111175756,0.8258998913677768,2.9693773445019764,0.8536102802555968,2.8554123237125943,0.8123748280081128,3.0247522060106524,18.988433922700786,41.16870933430162,45.29483018757187,104.24283984719149,105.91804188951485
