label,pixels_28668,pixels_32764
222.0_-0.5,214973010,200408759
334.0_-28.2,109628643,103516794
4.8_-34.1,237875095,229002969
230.0_0.5,216187909,193913092
171.0_1.5,236235452,227079185
8.0_-29.2,215931157,211262242
171.0_0.5,225648784,210536087
176.0_0.5,241748881,225476729
13.5_-28.2,236273709,226448715
330.0_-34.1,105483562,100140281
137.4_2.5,215259748,201783981
232.0_-0.5,226713243,199558433
29.6_-29.2,237146423,225083822
32.2_-30.2,229546565,218952032
335.3_-32.1,220788291,213034044
204.0_1.5,236210677,220625633
208.0_0.5,244062526,235942055
135.4_2.5,212689064,192132238
30.5_-28.2,242260708,234922751
38.0_-30.2,233497861,221159845
167.5_2.5,226224574,215845947
175.5_-2.5,236606912,227340166
48.0_-34.1,235485172,222019789
233.0_-0.5,222489887,208297541
27.3_-29.2,233203818,227027003
177.0_1.5,240247718,224545499
32.7_-28.2,238869992,229573499
22.6_-28.2,236840319,219020733
161.0_1.5,244443604,233165612
345.2_-29.2,205466873,192853496
159.0_0.5,243811096,228778406
358.9_-29.2,237006610,226174453
237.0_0.5,37343941,34419069
234.0_1.5,213572109,201874904
156.0_1.5,0,0
40.4_-33.1,225813202,216978841
39.1_-30.2,217323567,201027199
353.2_-28.2,248933231,239686987
156.0_-0.5,0,0
26.5_-30.2,242333428,231382170
22.8_-34.1,235827824,227448497
38.0_-33.1,209813592,198384402
48.9_-31.2,236806335,224879451
49.7_-28.2,240724560,227919587
43.2_-34.1,234027444,217314733
129.0_-0.5,189104756,170735444
339.8_-33.1,229027372,214560583
139.0_1.5,211039133,196564844
350.5_-33.1,220314230,217935771
14.3_-33.1,234702383,230394857
183.0_0.5,246661317,230613868
177.0_0.5,242083569,231928411
342.5_-31.2,235734824,227899032
185.5_-2.5,240006239,233650069
342.7_-30.2,229588504,215466324
331.8_-28.2,222133263,208333114
0.0_-31.2,239553312,223707350
196.0_0.5,230541937,224109667
350.6_-32.1,235130547,219779599
170.5_-2.5,232173029,224147740
173.0_0.5,208525358,195701355
236.0_-1.5,232156631,211322994
129.4_2.5,196689593,179621793
12.7_-30.2,241640077,233168338
201.6_2.5,224484685,220171773
330.4_-29.2,193632575,178560960
208.0_-1.5,235724982,229278250
219.6_2.5,209428131,201593639
43.1_-31.2,214045056,200378275
202.0_-0.5,222707623,205604615
353.9_-35.1,231887752,218112429
9.3_-31.2,242489673,230126205
52.4_-31.2,135295567,130981253
31.6_-28.2,210799115,201620918
51.6_-27.2,149262569,141746583
221.0_-0.5,228106910,213066912
212.0_0.5,233978489,219840491
230.0_-0.5,211936069,197007233
217.0_0.5,216434059,200615127
185.5_2.5,245725887,234045122
158.4_-2.5,225223716,209275545
46.2_-35.1,240535453,231252019
43.8_-35.1,232027089,221460678
213.6_-2.5,240125118,225975041
329.7_-31.2,51305354,49669622
139.0_0.5,214766900,198444168
50.6_-30.2,220031568,210770646
216.0_0.5,229219387,217414451
338.6_-33.1,220200315,205845107
172.0_-0.5,238355488,215896230
183.5_2.5,251482746,247085104
166.0_-0.5,134631619,127196111
233.0_-1.5,215449530,193073057
160.0_-1.5,239960366,219064929
1.1_-29.2,225794569,212037093
233.0_1.5,238501687,219470958
209.0_0.5,240205114,238431759
200.6_2.5,212255241,201643010
52.2_-26.2,0,0
207.0_0.5,243741162,237371139
31.9_-29.2,222707420,213944994
175.0_-0.5,240782982,226097624
191.0_0.5,239080455,228812720
165.0_0.5,246649001,232977137
346.3_-29.2,225595940,213912043
1.2_-35.1,230361851,212347538
20.7_-30.2,252933458,246150505
19.4_-29.2,229644421,220452184
4.8_-33.1,237086007,223343227
187.0_0.5,248492327,239968721
51.9_-28.2,224309248,213533096
168.0_0.5,49332784,47989211
330.1_-30.2,124692661,115575871
45.1_-33.1,226417495,224793805
185.0_-0.5,206392328,200570843
20.0_-32.1,249336636,235568513
330.6_-32.1,213537658,192025624
44.0_-28.2,220152570,210765927
13.1_-33.1,253414069,242799332
24.7_-32.1,222288784,215444247
341.0_-33.1,214077398,204685525
178.0_-0.5,240902450,236446503
231.0_-0.5,240239480,222476612
164.0_-0.5,217797820,202798870
159.0_-0.5,229280060,208991778
131.0_-1.5,202771659,176207551
349.7_-29.2,239615815,231791609
195.0_0.5,238563116,222469615
218.0_-1.5,247630967,233150709
47.4_-35.1,227998690,218031862
203.0_1.5,236833300,220997375
28.8_-34.1,230135232,216027293
130.0_-1.5,206335347,169975781
12.4_-28.2,249034501,239612937
231.6_2.5,15543844,13320705
174.0_0.5,236116299,225299652
201.6_-2.5,241005880,228386335
46.7_-26.2,0,0
163.0_-0.5,137835564,132753128
46.3_-28.2,225733180,213698840
51.8_-32.1,234334794,222983459
236.0_-0.5,237259215,221431317
200.0_1.5,240179347,226576653
51.8_-30.2,230615694,214176354
179.5_2.5,241888882,232190182
234.0_0.5,227453828,199532632
339.5_-29.2,224927847,215343655
190.5_2.5,225609267,219309032
7.0_-31.2,219714689,211649899
140.4_2.5,218899833,199955648
10.7_-33.1,237164501,224175220
331.2_-34.1,225851046,213106649
13.7_-29.2,243342767,234008846
335.8_-30.2,228950513,210914889
159.0_-1.5,245609997,229915353
339.7_-28.2,232262101,224306684
231.0_1.5,238169738,218505242
42.4_-32.1,209854482,202910252
237.0_-0.5,76721523,70208695
45.9_-32.1,245730809,234615523
350.4_-34.1,236013677,228415722
184.0_-0.5,244578877,228860391
21.9_-30.2,229390692,220796566
197.0_0.5,238119799,227308093
169.0_-0.5,249969495,240218311
168.0_-0.5,234991836,224361176
330.8_-35.1,227845450,211443226
34.2_-29.2,239668363,231766364
332.4_-30.2,224193849,206323042
337.2_-34.1,215072842,204940586
167.0_1.5,234014470,224609360
51.6_-34.1,234143623,218507975
130.0_1.5,45774734,41540315
189.0_-0.5,217815376,212302450
216.0_1.5,217670266,204033019
346.0_-31.2,231570002,222251913
15.9_-29.2,230973759,215906103
2.4_-33.1,218634025,207367024
159.4_-2.5,235604267,226665602
49.9_-35.1,225163856,213792394
213.0_-1.5,241214103,221131561
351.9_-30.2,249379097,226144675
210.0_-1.5,242867123,237902228
238.0_-0.5,0,0
178.0_-1.5,241872490,229979430
235.0_-1.5,224768866,215206098
134.0_1.5,198253569,190123046
10.8_-34.1,213009738,205150320
210.0_1.5,233091495,218857731
340.4_-30.2,218446872,205170520
46.7_-29.2,234328323,223852780
332.9_-28.2,187234007,174685880
220.6_2.5,216114247,207092731
210.6_2.5,231034028,213294611
225.0_1.5,218778470,211989740
161.0_-0.5,242826862,233829954
352.8_-34.1,247687487,232943764
227.6_2.5,16741154,15990410
140.0_0.5,196792965,177029814
173.0_1.5,203596365,194154084
175.0_1.5,228952374,219737302
31.2_-34.1,250724752,242144573
228.0_-1.5,215624234,200213420
190.0_0.5,236666427,233315210
339.0_-31.2,247643510,239650198
330.3_-33.1,156604000,148572597
234.0_-1.5,238104614,220531484
133.0_0.5,194603735,163381646
222.0_1.5,213481434,197478030
138.4_2.5,186273733,170166456
353.0_-31.2,232952981,222289044
205.0_1.5,226124544,212603275
172.0_1.5,221171257,210456320
194.0_0.5,245458159,238440682
190.0_1.5,222884265,197975651
352.0_-29.2,240561951,229043146
215.6_2.5,222181291,213472914
133.4_2.5,195212917,170632292
332.0_-35.1,185423535,175677922
10.6_-32.1,247301117,234767632
356.5_-32.1,238095995,222918602
198.0_1.5,228926050,212098219
164.0_-1.5,235122392,218767018
348.6_-29.2,241812471,229705715
231.0_0.5,244000485,221142672
138.0_-0.5,215095486,198957612
131.0_1.5,207774975,181605228
351.0_-28.2,240241900,230947638
3.5_-31.2,226172013,210980592
53.5_-33.1,121893679,118887548
215.0_0.5,226569810,217373260
216.6_2.5,230020790,219950585
136.0_0.5,219329112,197113276
45.6_-34.1,244360013,231833807
350.7_-31.2,220865523,207632230
45.4_-31.2,229562372,217588954
21.4_-33.1,236907324,228848674
220.6_-3.5,226538749,218659524
220.6_-2.5,220514256,204197138
357.7_-30.2,235546227,223748705
53.5_-29.2,147300970,131868744
336.2_-33.1,234164573,225301388
353.1_-30.2,234544347,227052431
205.0_-0.5,244491787,233882655
163.0_1.5,225722769,222797905
7.2_-34.1,233923722,224831712
43.5_-32.1,236619224,229773739
180.0_1.5,235868977,228221937
227.0_-0.5,232592619,212914566
225.0_-1.5,230079075,214397596
158.0_-1.5,233931119,225715001
345.7_-33.1,243793498,234156446
2.3_-31.2,237129148,225450291
19.6_-30.2,233814184,223883959
211.0_0.5,245939906,225954587
197.5_2.5,243004378,239149752
347.3_-30.2,211885382,195364689
44.9_-27.2,155461733,146660679
345.4_-35.1,207875115,200047226
188.0_1.5,247240773,237318844
34.1_-32.1,245244351,234749689
210.6_-2.5,230332152,221365593
45.6_-29.2,237824596,228683590
202.0_1.5,237016524,224014052
347.5_-29.2,228787760,219021485
50.1_-29.2,215020240,203651900
189.0_1.5,237459581,227750298
168.0_-1.5,231506643,219525442
29.7_-33.1,213695808,202037802
358.8_-30.2,242335190,232942202
206.0_-0.5,247999554,234391333
230.0_1.5,229885693,215776024
0.0_-29.2,224002137,204713936
47.1_-27.2,163669920,156562873
169.5_-2.5,236852637,231496297
222.0_-1.5,215680063,205465252
179.0_1.5,244911606,235846082
48.5_-28.2,241260054,233550750
335.5_-31.2,232412725,217787497
17.5_-31.2,201384985,193401965
344.6_-33.1,227992561,211250928
181.5_2.5,230203404,221184069
47.8_-31.2,234041273,223199235
150.1_2.2,0,0
9.1_-29.2,226314361,216576226
356.6_-28.2,231435820,218836668
213.0_-0.5,236132294,219898768
238.0_1.5,0,0
130.0_0.5,212597529,186600063
10.3_-29.2,245224889,229561018
51.1_-33.1,236246647,221257811
0.0_-33.1,234919170,220518374
199.6_2.5,234531266,223609601
236.7_2.5,14902618,14372037
219.6_-2.5,235153099,220799122
176.0_-0.5,229576735,219641534
186.0_0.5,236242822,222664952
10.5_-31.2,240194996,233087066
41.9_-31.2,210421595,197750853
358.8_-32.1,226883031,215007709
182.0_0.5,226867208,211954148
50.1_-31.2,239388217,228049107
234.7_2.5,16206233,15982309
50.6_-32.1,244674976,233795063
185.0_-1.5,243632340,232323394
351.6_-34.1,248132447,234848577
332.7_-29.2,232554553,215459869
31.5_-31.2,241755146,235524344
1.1_-28.2,248890624,242604249
195.5_2.5,235241202,222790596
207.0_-1.5,225043173,214893210
33.9_-28.2,234677848,227261403
26.2_-29.2,230328940,217704200
175.5_2.5,226672069,219687844
212.0_1.5,224665018,203385526
22.8_-29.2,228520253,219055794
227.0_1.5,233777207,216461226
223.6_2.5,213844899,197360309
2.4_-32.1,231488495,220620280
47.8_-26.2,0,0
37.2_-28.2,244364320,236237581
1.2_-30.2,194144818,171561759
133.0_1.5,214655099,189375045
221.0_1.5,220514788,208954989
216.6_-2.5,233952109,216967440
198.0_-0.5,246638711,232348404
22.1_-31.2,238502417,222404363
171.0_-0.5,242140817,232062020
186.5_2.5,225666061,221054306
174.5_-2.5,223148060,208621633
181.5_-2.5,235324557,228252599
338.6_-28.2,224358922,210723882
342.2_-33.1,212854448,202183987
343.1_-28.2,231784935,223984464
178.5_2.5,240708624,229521656
19.0_-33.1,241007130,230323286
350.3_-35.1,231288551,225021453
3.5_-32.1,232743427,222051062
186.0_1.5,241041361,231267418
224.6_-2.5,237297220,218618004
333.2_-35.1,235443829,229812857
43.7_-30.2,233198669,220649406
338.4_-29.2,230509035,217558671
137.0_1.5,214062385,201130331
223.0_-1.5,208163308,196050583
351.7_-33.1,250182118,240433150
1.2_-31.2,228501188,218285030
159.4_2.5,234380127,225946224
335.7_-35.1,226535651,215964242
221.0_0.5,234435480,212283319
39.2_-33.1,227581406,214502588
333.8_-29.2,166619156,160747120
335.0_-33.1,235840781,221477775
221.0_-1.5,232865950,215988401
335.2_-28.2,209823625,196975547
185.0_1.5,240440907,235272162
219.0_1.5,229383705,211849406
329.4_-32.1,0,0
163.0_0.5,221698330,213090905
132.4_2.5,186136612,166960545
172.0_-1.5,231239751,217486181
354.1_-32.1,231859447,224351338
131.0_0.5,211090493,188196726
47.8_-29.2,205586689,195308849
331.8_-32.1,208957026,195821034
2.4_-35.1,218154298,214130788
8.2_-32.1,221290552,213993315
206.0_1.5,235250534,227213887
213.6_2.5,225570812,217145764
11.7_-31.2,213438318,206967376
358.8_-33.1,181310930,171529771
223.6_-2.5,230864014,218416508
215.0_-1.5,238547661,222133790
19.2_-34.1,245604800,237474442
186.0_-1.5,241817558,230059719
25.2_-34.1,238565164,234398172
40.0_-32.1,254151593,245157058
30.9_-33.1,233936980,228035118
12.5_-29.2,240792511,237129909
52.3_-33.1,228776960,217256352
333.9_-33.1,222888325,205219414
157.4_-2.5,140135315,131344192
346.2_-30.2,226204347,203543001
47.5_-33.1,240839080,225614837
3.4_-29.2,224280682,216489898
204.0_-0.5,212843557,203378819
168.5_2.5,236915446,229424096
160.0_1.5,236188455,227841752
216.0_-0.5,221556651,209533850
349.6_-30.2,244679884,237480341
355.2_-33.1,235200723,220812249
137.0_-1.5,209748101,188814339
206.0_0.5,240210124,227949354
29.1_-31.2,241838279,233621812
235.7_2.5,16266589,15666713
138.0_-1.5,219256427,195895427
18.6_-31.2,222145353,214351948
13.2_-34.1,240274173,231974270
19.2_-28.2,246923332,240528673
179.5_-2.5,242000004,226015426
37.6_-32.1,241991300,226302653
332.4_-34.1,195378127,181205349
339.3_-30.2,236549062,225269154
132.0_0.5,209632476,190597734
341.8_-29.2,239179226,229178566
20.4_-34.1,243585699,236144634
332.7_-33.1,219480702,207163025
170.5_2.5,236417468,225821019
136.0_1.5,202060898,187446981
226.0_0.5,218301931,200096097
36.8_-33.1,230159088,219773839
180.0_-0.5,233761726,218464936
344.1_-29.2,173730986,165958546
3.5_-30.2,243880574,229841775
157.0_-0.5,59584303,55597187
11.4_-29.2,244099697,242148204
166.5_2.5,216442340,205849685
224.6_2.5,240338471,227847506
338.1_-35.1,207236403,198563173
0.0_-28.2,212145550,202370693
203.0_-0.5,228638245,220841824
237.0_-1.5,83759638,78751973
33.3_-33.1,234502445,227701984
345.9_-32.1,231536702,218451807
44.7_-32.1,237202188,230032426
2.3_-29.2,243947763,226594915
20.3_-28.2,237852225,229468973
220.0_1.5,241908891,236626739
45.6_-26.2,0,0
14.7_-28.2,243494254,238622902
178.0_0.5,252948847,246552841
174.5_2.5,237457854,224096813
352.1_-28.2,244390816,234921959
183.0_1.5,236005496,227575396
25.3_-30.2,254489211,245439717
17.1_-29.2,242610661,235875451
167.0_-0.5,73675817,69145547
197.0_-0.5,230867026,225056118
354.4_-28.2,246362007,234108304
141.4_2.5,166961426,153266846
21.2_-32.1,232391406,223745478
186.5_-2.5,233485585,230341786
357.6_-33.1,203810659,199533100
52.4_-29.2,231325368,210760100
346.5_-28.2,219586288,205083593
41.0_-29.2,229951247,220637011
16.8_-34.1,235040731,225561720
224.0_-0.5,234373355,216796762
168.0_1.5,246679379,234086690
226.0_-1.5,240725932,223271560
347.2_-31.2,230827653,223088669
139.0_-1.5,206781867,194335781
208.0_-0.5,254885678,246019729
133.0_-1.5,204179090,183470603
212.0_-0.5,239986336,231494349
181.0_-1.5,236170604,226941092
158.0_1.5,239549339,230001256
217.0_-0.5,245212485,228347462
222.0_0.5,220211998,201612776
194.0_1.5,232393715,222893122
333.2_-31.2,234248654,217536775
227.0_-1.5,226623946,217258465
6.0_-34.1,233699897,221968298
343.9_-30.2,203735617,200395198
14.8_-29.2,214860305,204627816
130.0_-0.5,200500346,182376169
131.0_-0.5,207343127,177714710
339.3_-35.1,193355529,192054151
336.9_-35.1,228598357,210133793
211.0_1.5,251438501,244112093
170.0_-0.5,239167993,228908844
341.2_-32.1,248110885,238947203
15.6_-34.1,214426590,203778213
45.1_-28.2,230528115,222525177
178.0_1.5,241290653,234323822
344.2_-35.1,230525276,219483040
187.0_-1.5,224892616,210515191
137.0_0.5,210855177,190811061
35.0_-31.2,239003973,233114919
344.7_-32.1,243237191,221279110
172.5_-2.5,225772597,219103348
48.2_-32.1,229414070,219829031
135.0_-1.5,203104004,180898485
174.0_-0.5,218003287,205363882
159.0_1.5,223698914,218105254
357.7_-29.2,235634616,222249232
193.0_-0.5,232572665,218468191
351.8_-32.1,223015440,217202361
224.0_-1.5,220662182,203825884
51.3_-31.2,233957549,219738039
38.4_-34.1,246378124,237986687
182.5_-2.5,236927485,230370453
40.8_-34.1,181380120,170284892
157.4_2.5,194089909,188925159
353.2_-29.2,240686724,223699118
0.0_-30.2,220200003,209228361
354.0_-34.1,228611010,216793310
11.5_-30.2,235121186,226901906
238.0_-1.5,0,0
129.0_0.5,184632412,162887433
17.8_-33.1,243532607,234404127
220.0_0.5,228583838,205194263
218.0_-0.5,226965492,214329381
