label,rmsAW_u,rmsAW_g,rmsAW_r,rmsAW_i,rmsTHELI_u,rmsExpo_u,rmsTHELI_g,rmsExpo_g,rmsTHELI_r,rmsExpo_r,rmsTHELI_i,rmsExpo_i,FileSeeing_u,seeing_e_u,FileSeeing_g,seeing_e_g,FileSeeing_r,seeing_e_r,FileSeeing_i,seeing_e_i,MeasSeeing_u,MeasBeta_u,MeasSeeing_g,MeasBeta_g,MeasSeeing_r,MeasBeta_r,MeasSeeing_i,MeasBeta_i,InputSeeing_u,InputBeta_u,InputSeeing_g,InputBeta_g,InputSeeing_r,InputBeta_r,InputSeeing_i,InputBeta_i,HeaderSeeing_Z,MeasSeeing_Z,rms_Z,HeaderSeeing_Y,MeasSeeing_Y,rms_Y,HeaderSeeing_J,MeasSeeing_J,rms_J,HeaderSeeing_H,MeasSeeing_H,rms_H,HeaderSeeing_Ks,MeasSeeing_Ks,rms_Ks,MeasBeta_Z,MeasBeta_Y,MeasBeta_J,MeasBeta_H,MeasBeta_Ks,InputSeeing_Z,InputBeta_Z,InputSeeing_Y,InputBeta_Y,InputSeeing_J,InputBeta_J,InputSeeing_H,InputBeta_H,InputSeeing_Ks,InputBeta_Ks,rmsExpo_Z,rmsExpo_Y,rmsExpo_J,rmsExpo_H,rmsExpo_Ks,seeing_e_r_expo0,seeing_e_r_expo1,seeing_e_r_expo2,seeing_e_r_expo3,seeing_e_r_expo4
178.0_-1.5,5.454671869236509,2.1707815381186912,2.4318970828123296,7.5561018456077775,6.245053823088878,12.490107646177751,2.485327782992089,5.557361869139156,2.7842789701118362,6.2258370454931695,8.650981003036339,19.344181594848575,1.032,0.033,0.665,0.044,0.5529999999999999,0.055,0.941,0.051,0.9445574,2.050762,0.6268218000000001,2.390581,0.5446634,3.30362,0.8829417999999999,2.577934,0.9271148,2.005604355320948,0.5976436000000002,2.1777619935435717,0.5093268000000001,2.7119517715808823,0.8668835999999998,2.5061067519979368,1.015112022301787,1.0968844317668092,19.992173743726564,0.9246823457102944,0.981506047273574,37.5379889048919,0.7995183451965258,0.8652414026171077,45.73662200339846,0.7278974593138009,0.9217115518474828,103.87165023020408,0.622297467890663,0.8066024770210226,112.25227116435127,2.6275828545056163,2.811336054872484,3.2411071740601067,2.985581394492121,3.6652673515222713,1.0581688635336184,2.4894063544244505,0.939612094547148,2.6277508640487386,0.8226828052342153,2.9837858631810645,0.8795231036949658,2.779997311859031,0.7632049540420451,3.3280682674312345,19.992173743726564,37.5379889048919,45.73662200339846,103.87165023020408,112.25227116435127,0.06350733504207495,0.06051745658028064,0.0572581469933543,0.06797563056517797,0.06642929682212251
179.0_-0.5,5.6098894973144935,2.2511531218325085,2.584627909414776,9.60636434299615,6.422762485475359,12.845524970950718,2.577345209186038,5.763119089223398,2.9591404934889765,6.616839298413622,10.998326536296286,24.593005773898312,1.138,0.04,0.7170000000000001,0.046,0.625,0.056,1.204,0.042,1.0554818000000001,2.453723,0.6709396000000001,2.2277,0.6037812000000001,2.996743,1.1097,2.10887,1.0409636000000002,2.4003715265446965,0.6438792000000001,2.070670901939613,0.5755624000000001,2.656765874785908,1.0953999999999997,2.0573831078917344,0.815754157560878,0.8962528032714118,16.774275042176544,0.790294367130898,0.8191806682464919,36.10014430309481,0.7535110582223244,0.8453168144904061,42.928945875253945,0.8307585827456025,0.9230398080838572,107.25346642132679,0.7427259098533786,0.8627781057208114,129.13183474148929,3.087000752922259,3.5556226637013046,3.3624776613496463,2.98081154433566,3.255063893125091,0.8541056065428235,2.853227647047746,0.7747613364929838,3.2402533565735845,0.799833628980812,3.0901102423263707,0.8804796161677144,2.7791716138271,0.8177562114416227,2.9964745667654937,16.774275042176544,36.10014430309481,42.928945875253945,107.25346642132679,129.13183474148929,0.06821686467926757,0.05284241240554111,0.07729088747878465,0.05325999922219948,0.06693724087613884
178.0_1.5,5.9524158673480745,2.4856485472363747,2.8146160393298274,7.735477464343799,6.814920926526807,13.629841853053614,2.8458190217309243,6.363444784252298,3.2224539034287183,7.205625982426157,8.856348148927212,19.803396493405682,0.86,0.061,1.19,0.064,0.8220000000000001,0.051,0.906,0.041,0.78225,2.204671,1.1276514000000002,3.200439,0.8141735999999999,2.658122,0.8700366000000002,2.416543,0.7605000000000001,2.117777634834157,1.1153028000000005,3.1589806663154314,0.7963471999999998,2.5686952171285933,0.8530732000000003,2.344194036507905,0.7723964702004354,0.8577762561150437,18.78733172485888,0.8916562516873867,0.9224059830174492,25.953625538071197,0.8621096978403063,0.9023389186162344,33.09751644843679,0.7793745162533711,0.843286884371298,87.33209610176714,0.7263053931997948,0.8653500920020968,116.46525833491043,3.284277667045738,2.9830816758489216,3.060920890270713,3.375999830259252,3.2404977415928835,0.8145525122300874,3.0083037869459464,0.8792119660348985,2.7771499525181103,0.8594778372324687,2.8481859313073237,0.7991737687425959,3.095778370662699,0.8229001840041935,2.990576343555667,18.78733172485888,25.953625538071197,33.09751644843679,87.33209610176714,116.46525833491043,0.038028947689998434,0.07500402251971937,0.0435733274693747,0.049543700403468005,0.0612196721246383
180.0_-0.5,5.494308280751548,2.187731064901282,3.1135055473919806,9.810077572008256,6.290433550632446,12.580867101264891,2.504733296205477,5.600753915822563,3.5646525012090766,7.970805308868147,11.231557812192246,25.11452676128069,1.145,0.032,0.774,0.052000000000000005,0.5579999999999999,0.052000000000000005,0.979,0.043,1.059133,2.238025,0.709886,2.056216,0.5511188,2.961428,0.929222,2.463676,1.046266,2.210256609549124,0.685772,1.943350342716029,0.5162376000000001,2.5067942671844534,0.9124439999999998,2.3980454808855467,0.9430906099464572,0.9974735425218072,17.21012973796405,0.8997692647228241,0.934436642466626,35.95886905754921,0.7892992410676026,0.8901453151736577,43.64088511396619,0.8106970816071285,0.887425048267413,107.58537070528492,0.7459507844632602,0.928247792663702,134.76614221971406,2.7762680141600686,2.9417873636187597,3.1144430178764906,3.127094188259232,2.9625637322122533,0.9579470850436144,2.6089636690567786,0.893073284933252,2.736036205506899,0.8486906303473153,2.874565686781832,0.8432500965348259,2.88467205105538,0.887495585327404,2.751645998926,17.21012973796405,35.95886905754921,43.64088511396619,107.58537070528492,134.76614221971406,0.025928820872064492,0.0391593986148937,0.03160985764114321,0.0505566589161186,0.03918385184763396
181.0_-1.5,5.3487466595392155,2.236941092961329,2.5090987411098187,7.8252206324823,6.123780050506445,12.24756010101289,2.561073857331425,5.726735240390664,2.8726671486966304,6.4234790212161625,8.959095102128982,20.033145665245822,0.901,0.038,0.812,0.043,0.55,0.058,0.696,0.054000000000000006,0.8318289999999999,2.129394,0.7541334000000001,2.100453,0.5338524,2.946034,0.6652471999999999,2.628313,0.8136579999999998,2.066266797755439,0.7322668000000001,2.005784867494575,0.4957048000000001,2.42218376208397,0.6404943999999998,2.4422974931794137,0.9544234407891492,1.0155921714110965,14.580562325575983,0.9894155992245608,0.9955250267667376,37.04818535252589,0.8487745572752573,0.8911664486100132,27.83445913360569,0.831445819459769,0.9488850187890896,83.98265232776025,0.7983539690196441,0.8973994424819115,76.07570580757991,2.7410056176677102,2.7803365458158606,3.1097632248043934,2.896855347897501,3.0819926758360583,0.9771843428221928,2.586612465597508,0.9540500535334752,2.6046025697288124,0.8473328972200262,2.87052845447962,0.9083700375781792,2.6986376286038967,0.856398884963823,2.862824822656417,14.580562325575983,37.04818535252589,27.83445913360569,83.98265232776025,76.07570580757991,0.05975368429443895,0.055938454137508864,0.08689384771615337,0.06918643693447846,0.06210872733743345
181.0_1.5,5.076666274335373,2.433354906039848,2.5357678293127317,10.626868409933461,5.812275217486567,11.624550434973134,2.7859480319250207,6.229569181166103,2.903200587780145,6.491753866593751,12.166701642532814,27.20557193466173,0.907,0.038,0.685,0.052000000000000005,0.573,0.045,0.7140000000000001,0.052000000000000005,0.8331302000000002,2.062765,0.6414092,2.261457,0.5713154,3.20343,0.6985930000000001,2.84995,0.8142604000000003,1.993949703312092,0.6128184,2.082544228028362,0.5386308000000001,2.741282376509416,0.6751860000000003,2.663098657032667,1.0473675503018485,1.1118872715195254,13.041225113581458,0.8951923292539542,0.92261367871573,28.447392484458145,0.8182789919263588,0.8788006181062108,35.55799809762126,0.8193217920188836,0.8789145118101682,66.21348614031977,0.837939029550049,0.9138654356563786,102.56839268877407,2.6126948853570764,2.9823365871360514,3.169044156999437,3.1684713045986155,3.014758557254208,1.0745745430390508,2.4787038765056857,0.8796273574314599,2.7695804972436457,0.8362012362124215,2.9311243569717456,0.8364290236203363,2.9222515950229893,0.8723308713127571,2.8027247254649907,13.041225113581458,28.447392484458145,35.55799809762126,66.21348614031977,102.56839268877407,0.03571232528503332,0.03092095430781905,0.02778646910367366,0.04358911812769295,0.05162151826409245
178.0_0.5,5.892509906407733,3.1876225623747234,2.9963699450688237,9.931722837721036,6.746334591846211,13.492669183692422,3.6495090716628193,8.160550368740216,3.4305439501092945,7.6709294722450325,11.37082947690681,25.425947670922003,0.675,0.043,0.759,0.045,0.643,0.047,1.032,0.047,0.6354888000000001,2.064412,0.7098728,2.202537,0.6194518000000001,2.696142,0.9706636000000001,2.799827,0.6049776000000001,1.9010426953079769,0.6857456000000001,2.081119387767056,0.5909036000000001,2.4311295924916965,0.9573272000000002,2.741215200811177,0.8548463118678122,0.9076782147355428,19.765147854499432,0.8517862742847101,0.9308148568998998,38.54118376988358,0.8149801913652283,0.8895817364392554,47.455099150477714,0.7684972964665948,0.8856034218477411,100.34673798894556,0.7012988618272411,0.8234663812867106,118.60793994555529,3.039029467109246,2.953828835385344,3.117041937400693,3.135718445962909,3.520926775576219,0.8650564294710855,2.8181334955119013,0.8892297137997996,2.7483614499385602,0.8475634728785107,2.8772046065726165,0.8430068436954822,2.9040888683538078,0.7799327625734211,3.2158181921947366,19.765147854499432,38.54118376988358,47.455099150477714,100.34673798894556,118.60793994555529,0.028719508599277962,0.028768724829372424,0.02976932063395288,0.05293185743595097,0.05082253359396638
179.0_0.5,5.357577684185378,2.30980704948228,2.871321965678088,8.258880377067806,6.133890690623836,12.267781381247673,2.644498090952261,5.913277497737679,3.287376518504842,7.350797363013423,9.455592143704928,21.14334680083718,1.018,0.052000000000000005,0.916,0.05,0.57,0.05,0.713,0.045,0.9322736,2.194369,0.8393588000000002,2.08239,0.5541001999999999,3.094852,0.6888964,2.795877,0.9165472,2.1414225650158243,0.8197176000000004,2.0149506447020364,0.5202003999999999,2.60668228865766,0.6657927999999999,2.607943227239334,0.924358191688282,0.9731030896266272,20.959747269382323,0.8900668676048742,0.907371001774565,36.26433590367827,0.7871829748250406,0.8658388221710781,41.66359414100001,0.7806893757926251,0.7825439565502049,64.92485120957846,0.7186573128622958,0.8412129724198728,83.95133941715116,2.8314676283576166,3.0402648254893063,3.23776398896596,3.9126352905294777,3.39005359932444,0.9330061792532542,2.651229104734161,0.8661420035491298,2.816248046230519,0.8204776443421561,2.9655520857269773,0.7354879131004098,3.515769297987186,0.7984259448397455,3.1017115243861477,20.959747269382323,36.26433590367827,41.66359414100001,64.92485120957846,83.95133941715116,0.07371937589432398,0.026681726742308176,0.08767810398026565,0.04560317817678927,0.030919835714128374
181.0_-0.5,7.330481838203214,2.4455904829443056,2.5258824850929527,6.357079611246303,8.392668656558858,16.785337313117715,2.7999565439229346,6.260893166257057,2.8918828571829205,6.466446651627328,7.2782204469158875,16.27459567453283,1.129,0.03,0.8170000000000001,0.043,0.797,0.048,0.764,0.047,1.0383366,2.129367,0.7587510000000002,2.0398080000000003,0.7637117999999999,2.241534,0.726144,2.603486,1.0226732,2.094420023001109,0.7375020000000003,1.948578121875268,0.7434235999999999,2.14849139321226,0.706288,2.4609882357327524,1.0668673036702339,1.1081775799379958,11.81810106012239,1.0079968180027148,1.016754340134742,24.538072237735648,0.8666219022423066,0.9138363173408164,30.194498857108048,0.7442342352793572,0.8337046129964673,99.14261848219999,0.7369286014181363,0.8929011792781419,106.79036195656064,2.616237468794331,2.7388937714867327,3.01487011401925,3.443030048036334,3.101898236593177,1.0705551598759917,2.4838756743300534,0.976108680269484,2.577382869157463,0.8722726346816326,2.800705667277592,0.7902092259929344,3.1425820717560766,0.8508023585562838,2.8718584853621114,11.81810106012239,24.538072237735648,30.194498857108048,99.14261848219999,106.79036195656064,0.014362574183178434,0.02200158102600436,0.03936378350778025,0.02754110624305739,0.03410565229323004
181.0_0.5,5.248448927538863,2.4725531251059336,2.68991382423264,13.526487860966007,6.008949177139241,12.017898354278483,2.8308260729337817,6.329919531558715,3.0796823373639484,6.886379055451227,15.486475952019974,34.628812960632445,1.072,0.035,0.928,0.038,0.5479999999999999,0.051,0.8,0.063,0.9879998,2.271938,0.8631861999999999,2.103549,0.5412319999999999,3.1385400000000003,0.7515694,2.294625,0.9719996,2.211744089565005,0.8443723999999997,2.038399936943996,0.5044639999999998,2.5880428651803924,0.7311388000000001,2.1873211693249712,1.0170383494424342,1.0420820393564207,15.66098405286624,0.9646523568386728,0.9849505482405124,33.02566600859869,0.8645138812863252,0.9006519563543349,39.39821100756661,0.8314799836449139,0.9117290523093372,85.16665211333478,0.8231265152057968,0.9383973830232742,111.20129285936017,2.696881169087358,2.8034289579492064,3.068027041947383,3.023009544207319,2.9289865689041585,1.0029640787128409,2.5458201480546068,0.9431010964810248,2.6352788569971706,0.8595039127086698,2.8482917967916714,0.8680581046186743,2.8107102745406616,0.8975947660465484,2.728703181500764,15.66098405286624,33.02566600859869,39.39821100756661,85.16665211333478,111.20129285936017,0.04625987140754051,0.031630413903235184,0.06413482604025167,0.02742375310787526,0.033028695669335195
182.0_1.5,5.457132918279376,2.357083102959101,2.904297502413947,9.553465216650887,6.2478714781380535,12.495742956276107,2.6986244445778738,6.0343077038187385,3.3251302105137266,7.43521718474688,10.937762326543595,24.45758008388773,0.805,0.037000000000000005,0.799,0.048,0.6779999999999999,0.051,0.78,0.043,0.7390278,2.072168,0.7462518,2.499919,0.6479772000000001,2.356301,0.7497784000000001,2.688986,0.7160555999999999,1.9631547504309463,0.7245036,2.3727430277810813,0.6199544000000002,2.1668879684040205,0.7295568000000001,2.5508012968908385,1.0023352073593483,1.086589267971771,18.270363000622527,0.88947849971786,0.9323350346495012,40.328343310221356,0.8317256476703688,0.8819835257464549,45.29748252876111,0.8283201889670604,0.8769232347963415,68.53611121430859,0.8199013014061269,0.8925629488946301,105.09178940229604,2.6387071279283267,2.9487348744911137,3.1532283142415074,3.1785619709642856,3.103423363643373,1.0477785359435419,2.5005689384114227,0.8922700692990023,2.749948567211477,0.8391670514929096,2.9091600268786446,0.8324464695926829,2.9326425999070365,0.8501258977892601,2.864020638471522,18.270363000622527,40.328343310221356,45.29748252876111,68.53611121430859,105.09178940229604,0.03104764959788364,0.02560153719082625,0.040368128487277,0.03449352420797813,0.02795098073414315
179.0_-1.5,5.094999086182317,2.2536064921019854,2.3452869045167613,7.4966401134950145,5.833264453770133,11.666528907540267,2.580154072807562,5.7693998992206526,2.685118976981239,6.004108560204744,8.582903265940441,19.19195514694778,1.101,0.042,0.7490000000000001,0.039,0.7040000000000001,0.049,0.618,0.051,0.9986304,2.02445,0.7006505999999999,2.147698,0.6650024000000001,2.380433,0.6041858000000001,3.338671,0.9842608000000002,1.980403829344924,0.6753011999999998,2.029908129247499,0.6380048000000001,2.203326728985932,0.5763716000000001,2.941697010544185,0.9356944026152172,0.9941370261391668,24.759993761952853,0.8816601394836472,0.899899058604394,48.86809243552516,0.8300800664334044,0.8917910081173359,53.725985168223744,0.8572608264073515,0.9929523729527416,82.31369672079376,0.8056677627734569,0.9039950855313508,126.49056505202265,2.7832692855648085,3.0712285935308663,3.106919280221365,2.7857953883106545,3.0540339424963063,0.9546740522783336,2.612057642240796,0.8579981172087879,2.8490430848982684,0.8485820162346718,2.8696220253218203,0.9523047459054832,2.6039089880691195,0.8627901710627015,2.8388611873458256,24.759993761952853,48.86809243552516,53.725985168223744,82.31369672079376,126.49056505202265,0.04340202330544552,0.0319676217581264,0.018891940557476672,0.04385216704609718,0.05735458739847633
180.0_-1.5,5.065606097690663,2.1372044797168064,2.4506758574660443,10.160817780933096,5.799612421246038,11.599224842492076,2.4468854088277707,5.47140210729126,2.805778789212873,6.273912102507037,11.633120277390294,26.01244773067593,0.993,0.053,0.912,0.041,0.913,0.039,0.764,0.057,0.9004908000000001,2.0967,0.8436520000000001,2.02871,0.8591572000000001,2.328502,0.7301516000000001,2.611382,0.8829816000000003,2.0477932069294766,0.823304,1.9660460923372896,0.8403144000000001,2.2536474077937774,0.7083032000000002,2.481184627551784,0.9389247836441178,0.9707361178970528,25.31349804843238,0.9100857780982192,0.9418639473327964,50.8477676730141,0.8309443953228833,0.8837333747800119,51.09851968871153,0.830093902903648,0.9160752615822167,74.50045270271565,0.8097493708780144,0.9603358128353112,121.17786834115364,2.8373622276758486,2.9180884742300264,3.1447016034525546,3.0063641878168155,2.8644967158483032,0.9282722357941056,2.6569957116046257,0.9011278946655928,2.721716801082965,0.8409667495600237,2.9093370470748283,0.8733505231644335,2.7937540029488783,0.9176716256706224,2.6775561824113443,25.31349804843238,50.8477676730141,51.09851968871153,74.50045270271565,121.17786834115364,0.012327551482558818,0.028761611933315726,0.02158135425735808,0.015289484203531491,0.02020196212794434
178.0_-0.5,5.155959193385646,2.22580045375436,2.9098277097971583,7.578854840875563,5.903057680507224,11.806115361014447,2.548318939503366,5.698214377079703,3.331461744946765,7.449374926141036,8.677030907318429,19.402430951630684,1.054,0.036000000000000004,1.007,0.035,0.537,0.055,0.664,0.051,0.9002908000000001,2.096318,0.9328134,2.248445,0.5250306,3.216466,0.6339338000000001,2.832688,0.8825816000000001,2.039403832845668,0.9176268,2.2037412211116107,0.4860612000000001,2.5921214093907907,0.6078676000000002,2.5664878669109874,1.0037220507984153,1.0375946676093404,20.98506139721208,1.0048514595936282,1.0067538428789748,41.192273869460365,0.7785633393952697,0.8773184871337357,49.61392070584898,0.6708244226138094,0.7869224188312612,106.06419357944813,0.643336574440439,0.8202122212070753,117.30672196834075,2.70379559824934,2.7576436759763654,3.1765463217601555,3.863486913977179,3.5471536162812103,0.9990893352186808,2.5577733634532165,0.9663076857579496,2.5965878221492646,0.8332369742674713,2.929212797246378,0.7408448376625224,3.4975139547391367,0.7768244424141505,3.2326151942258203,20.98506139721208,41.192273869460365,49.61392070584898,106.06419357944813,117.30672196834075,0.07229048140422822,0.05112764882179288,0.05557207293067723,0.042978053292459295,0.06323162363539347
179.0_1.5,4.817530437498776,2.5238857563284034,2.7875001692558232,8.09137973178952,5.515590597892347,11.031181195784693,2.8895968024203884,6.461334877778016,3.1914089437809907,7.1362073422951005,9.263820654925821,20.714532715780766,1.017,0.039,0.6729999999999999,0.059,0.624,0.053,0.789,0.046,0.9335155999999999,2.166148,0.6085202000000001,2.632362,0.5938218000000001,2.6617610000000003,0.7487043999999999,2.418949,0.9170311999999996,2.110329084371492,0.5790404000000001,2.363971792194973,0.5616436000000001,2.3615000788423504,0.7274087999999999,2.2994899774631707,0.8960397177949596,0.9226326326578778,22.452502832375067,0.8828564423397626,0.9283034210817174,40.56337399559768,0.8395494418378109,0.9006281034192078,43.172863311213334,0.7550652294226925,0.8214576008084771,86.3986652713398,0.7468996986990978,0.8517360499311466,101.64730160689552,2.9822686498766853,2.9623726563338644,3.0681281860254432,3.5370293302714235,3.3211859118799723,0.8796652653157555,2.775740985666144,0.8876068421634347,2.7487479233010363,0.8594562068384156,2.849568260758,0.7759152016169542,3.2307239051062693,0.8092720998622932,3.0408218176961133,22.452502832375067,40.56337399559768,43.172863311213334,86.3986652713398,101.64730160689552,0.03184221080613736,0.049101261237110894,0.03628933190840866,0.06451738896900294,0.047633967042452714
182.0_0.5,5.1114334947262,2.4581217610533472,2.4000457542317166,5.972854519856683,5.852080208112023,11.704160416224045,2.814303604229976,6.292974168380892,2.747812384019892,6.1442952800842345,6.838321139783914,15.290950920530676,1.117,0.038,0.675,0.047,0.644,0.049,0.991,0.047,1.0345458,2.418917,0.6279636000000001,2.13194,0.6288925999999999,3.100407,0.9228296,2.246275,1.0210916,2.3648628554040294,0.5979272000000001,1.950223317743555,0.6017851999999998,2.7890607159049936,0.9056592,2.1922772039114724,0.8874085537897244,0.9530865810694936,20.010012021601874,0.8929554967151355,0.929480050968594,42.25337317180808,0.8631338375871229,0.9074959909875938,50.0536678733791,0.8284043422036719,0.8957811415079936,86.4862936667987,0.8456400101010152,0.9668153012504784,94.82290902507314,2.884665219026544,2.9583497455105685,3.039761869819343,3.089073783561976,2.8473515777669705,0.9133731621389872,2.706454003964724,0.8865601019371879,2.7621902164192127,0.8663919819751875,2.821223533122569,0.8531622830159872,2.8596651869835847,0.9272306025009568,2.6653732029447763,20.010012021601874,42.25337317180808,50.0536678733791,86.4862936667987,94.82290902507314,0.06349427369059912,0.04652991493102709,0.06797405349046637,0.04282453554501475,0.03435031982167003
182.0_-0.5,5.123063575642198,2.3872369740225543,2.3590374815306348,7.763374171332897,5.865395487752751,11.7307909755055,2.7331476115584206,6.1115038519858205,2.7008620126044227,6.039311058030384,8.888287088759029,19.8748141339989,1.14,0.048,1.016,0.054000000000000006,0.484,0.056,0.955,0.048,1.0581416,2.508512,0.9387180000000002,2.349362,0.4864098000000001,3.681592,0.8920848,2.323117,1.0422831999999995,2.4467254094011417,0.9214360000000004,2.291248597488792,0.4428196000000002,2.6984988078074186,0.8741696,2.2448836894386446,0.9221280064861151,0.9537339282149724,18.33374782428087,0.9058634669750854,0.9169712002195648,26.98598181180243,0.873328499675216,0.9060180999167406,42.89450346659925,0.7903670598994247,0.8727994015467962,113.85942693960732,0.7752842509503435,0.8602025817550139,107.3721702462434,2.8828203078028545,3.003000849652015,3.0457399126649385,3.199975438746447,3.2699578751476785,0.9112678564299448,2.6952125573509176,0.8751424004391296,2.7916315114262478,0.8634361998334812,2.824926991496911,0.8275988030935924,2.9483912710742333,0.8160051635100276,3.0061650087739946,18.33374782428087,26.98598181180243,42.89450346659925,113.85942693960732,107.3721702462434,0.050419041176666624,0.07454394083417015,0.06012587474622678,0.0741902232280256,0.06325987817110568
182.0_-1.5,5.6334984405813024,2.3210746151025594,2.2555890019317357,12.842975139046553,6.449792364621531,12.899584729243061,2.65739832683092,5.942123302088139,2.5824238483116435,5.7744752715414425,14.703922236694392,32.87896965711941,1.029,0.054000000000000006,0.784,0.052000000000000005,0.516,0.057,0.823,0.05,0.9760714,2.625901,0.7273670000000001,2.404488,0.5166882,3.540033,0.7837908000000001,2.6618,0.9621428,2.5661507777437302,0.7047340000000002,2.2790807848875327,0.4773764000000002,2.787546607021441,0.7655816000000002,2.5545079096435486,0.8490249719926681,0.9003487741961375,21.258980636904283,0.8135400758704697,0.8628541209242415,39.23103157000626,0.7915713812903347,0.8492301245102046,42.215912749261406,0.7378904308938322,0.9031359863693664,116.91726917603293,0.7341043697485358,0.8431216831748666,106.16809735875687,3.0693140217826755,3.254629021683817,3.337044736519882,3.057595405294016,3.377110404223036,0.8554975483922749,2.834892336414575,0.817908241848483,2.988702682796042,0.8042602490204093,3.0626125418979715,0.8610719727387328,2.8450219476135343,0.7988433663497332,3.087620904740962,21.258980636904283,39.23103157000626,42.215912749261406,116.91726917603293,106.16809735875687,0.06647299557877773,0.05295059084961784,0.0499730158678483,0.0792289680875734,0.06170986632417341
